product_name,price,metadata,product_id,image_download
Tate Dress | Stripe,84.95,"The Tate Dress features a steel coloured strip fabrication, adjustable shoulder straps, double frill panel at the front and scooped neckline.",1576471567,OK
Kenna Pantsuit | White,114.95,,1576471871,OK
Tate Playsuit | Stripe,89.95,"The Tate Playsuit features a steel coloured stripe fabrication, elasticated waist, frill detailing on the sleeves and leg and v-neckline.",1576472267,OK
Nyxen Shorts | Navy,79.95,,1576472851,OK
Nyxen Shorts | Steel,79.95,"The Nyxen Shorts feature an elasticated waistband, two front pockets, fluted leg and drawstring closure.",1576472945,OK
Tate Skirt | Stripe,74.95,"The Tate Skirt features a steel coloured stripe fabrication, elasticated waistband and trim detailing.",1576473068,OK
Tate Top | Stripe,74.95,"The Tate Top features a steel coloured stripe fabrication, bell sleeve and wrap closure. You can adjust this style and where it multiple ways.",1576473469,OK
Willow Top | White,69.95,The Willow Top features a v neckline with knot detailing on the shoulder. Team with the Nyxen Shorts for the prefect look.,1576473802,OK
Willow Top | Navy,69.95,The Willow Top features a v neckline with knot detailing on the shoulder. Team with the Nyxen Shorts for the prefect look.,1576474795,OK
Ava Tank Top | Purple,49.95,The perfect staple has arrived. The Ava Tank features an unbelievably lightweight fabric with a v-neckline and thick straps for the perfect layering piece.,1580868737,OK
Jaymee Denim Skirt | Acid,74.95,Looking for the perfect Denim Skirt? The Jaymee Skirt is finally here! Featuring distressed patches and un-even hemline.,1576462550,OK
Jayla Top | White,74.95,"The Jayla Top features a capped sleeve, button closure and a slight peplum hemline. Team with a cute pair of denim shorts for the perfect look.",1576466328,OK
Jayla Top | Sand,74.95,"The Jayla Top features a capped sleeve, button closure and a slight peplum hemline. Team with a cute pair of denim shorts for the perfect look.",1576466632,OK
Vance Top | Pistachio,89.95,"The Vance Top features a half sleeve, deep v neckline and button closure.",1576467020,OK
Vance Top | Salmon,89.95,"The Vance Top features a half sleeve, deep v neckline and button closure.",1576467160,OK
Effie Pantsuit | Khaki,114.95,"The Effie Pantsuit features an elasticated waistband, open buckle closure at back and buttons down the front.",1576467610,OK
Montana Tee | Black,59.95,"The Montana Tee features rope detailing in the shape of a women's face, capped t-shit sleeve and a soft cotton ribbed fabrication. Your perfect basic with a twist.",1576032482,OK
Mason Dress | Black,79.95,"The perfect staple dress has arrived. The Mason Dress features a lightweight fabric with a straight cut bust line, thin adjustable shoulder straps and cross over hemline.",1576032842,OK
Mason Dress | Brick,79.95,"The perfect staple dress has arrived. The Mason Dress features a lightweight fabric with a straight cut bust line, thin adjustable shoulder straps and cross over hemline.",1576032918,OK
Amy Satin Cami | Yellow,59.95,Introducing the Amy Satin Cami. Featuring thin shoulder straps and a sheen finish- this cami will be your go to this Summer.,1575519697,OK
Amy Satin Cami | Brick,59.95,Introducing the Amy Satin Cami. Featuring thin shoulder straps and a sheen finish- this cami will be your go to this Summer.,1575519778,OK
Iris Crop | White,84.95,"The Iris Crop features an intricate lace fabrication, cupped bust, elasticated back and arm inserts.",1575520036,OK
Iris Skirt | White,89.95,"The Iris Skirt features an intricate lace fabrication, elasticated waistband and a lace frill hemline.",1575520154,OK
Tasmin Skirt | White,84.95,"The Tasmin Skirt features an elasticated waistband, high waisted silhouette, buttons along the side seam and midi length.",1575520460,OK
