date,skip,in_promotion,target
2017-07-31,FALSE,FALSE,1236
2017-08-01,FALSE,FALSE,1243
2017-08-02,FALSE,FALSE,1064
2017-08-03,FALSE,FALSE,1274
2017-08-04,FALSE,FALSE,2865
2017-08-05,FALSE,FALSE,498
2017-08-06,TRUE,FALSE,?
2017-08-07,FALSE,FALSE,1312
2017-08-08,FALSE,FALSE,1134
2017-08-09,FALSE,FALSE,1023
2017-08-10,FALSE,FALSE,1282
2017-08-11,FALSE,FALSE,625
2017-08-12,FALSE,FALSE,468
2017-08-13,TRUE,FALSE,?
2017-08-14,FALSE,FALSE,1212
2017-08-15,FALSE,FALSE,1107
2017-08-16,FALSE,FALSE,1160
2017-08-17,FALSE,FALSE,1240
2017-08-18,TRUE,FALSE,?
2017-08-19,FALSE,FALSE,429
2017-08-20,TRUE,FALSE,?
2017-08-21,FALSE,FALSE,1084
2017-08-22,FALSE,FALSE,1010
2017-08-23,FALSE,FALSE,943
2017-08-24,FALSE,FALSE,1108
2017-08-25,FALSE,FALSE,539
2017-08-26,TRUE,FALSE,?
2017-08-27,TRUE,FALSE,?
2017-08-28,FALSE,FALSE,1035
2017-08-29,FALSE,FALSE,1014
2017-08-30,FALSE,FALSE,1130
2017-08-31,FALSE,FALSE,1068
2017-09-01,FALSE,FALSE,?
2017-09-02,FALSE,FALSE,?
2017-09-03,FALSE,FALSE,?
2017-09-04,FALSE,FALSE,?
2017-09-05,FALSE,FALSE,?
2017-09-06,FALSE,FALSE,?
2017-09-07,FALSE,FALSE,?
2017-09-08,FALSE,FALSE,?
2017-09-09,FALSE,FALSE,?
2017-09-10,FALSE,FALSE,?
2017-09-11,FALSE,TRUE,?
2017-09-12,FALSE,TRUE,?
2017-09-13,FALSE,TRUE,?
2017-09-14,FALSE,TRUE,?
2017-09-15,FALSE,TRUE,?
2017-09-16,FALSE,TRUE,?
2017-09-17,FALSE,TRUE,?
2017-09-18,FALSE,TRUE,?
2017-09-19,FALSE,TRUE,?
2017-09-20,FALSE,TRUE,?
2017-09-21,FALSE,TRUE,?
2017-09-22,FALSE,TRUE,?
2017-09-23,FALSE,TRUE,?
2017-09-24,FALSE,TRUE,?
2017-09-25,FALSE,TRUE,?
2017-09-26,FALSE,TRUE,?
2017-09-27,FALSE,TRUE,?
2017-09-28,FALSE,TRUE,?
2017-09-29,FALSE,TRUE,?
2017-09-30,FALSE,TRUE,?
